name,telescope,raj,decj,BW[MHz],center freq,S[Jy],F[Jy ms],Width[ms],DM,SNR,Tsys,gain,data?,ref,,,,,
FRB181228,UTMOST,06:09:23.64,-45:58:02.4,31.25,835,19.23,24,1.24,354.2±0.9,12,330,1.7,no,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.2989F/abstract,,,,,
FRB181112,ASKAP,21:49:23.630,-52:58:15.39,336,1272.5,12.38,26,2.1,589.27±0.03,19.3,,,no,https://science.sciencemag.org/content/366/6462/231,,,,,
FRB181017,UTMOST,22:05:54.82,-08:50:34.22,31.25,835,89,31,66,239.97±0.03,66,330,1.7,no,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.2989F/abstract,,,,,
FRB181016,UTMOST,15:46:20.84,-25:24:32.6,31.25,835,10.19,87,8.6,1982.8±2.8,17,330,1.7,no,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.2989F/abstract,,,,,
FRB180924,ASKAP,21:44:25.255,-40:54:00.1,336,1320,12.3,16,1.3,361.42±0.06,194,100,0.05,no,https://ui.adsabs.harvard.edu/abs/2019Sci...365..565B/abstract,,,,,
FRB180714,parkes,17:46:12,-11:45:47,338.381,1352,0.6,1.85,2.9,1467.92±0.3,22,28,0.69,no,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..868O/abstract,,,,,
FRB180528,UTMOST,06:38:49.80,-49:53:59,31.25,835,15.75,32,2,899.3±0.6,11,330,1.7,no,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.2989F/abstract,,,,,
FRB180525,ASKAP,14:40,-02:12,336,1297,78.9,300,3.8,388.1±0.3,27.4,100,0.05,yes,https://ui.adsabs.harvard.edu/abs/2019ApJ...872L..19M/abstract,,,,,
FRB180515,ASKAP,23:13:12,-42:14:46,336,1320,24.2,46,1.9,355.2±0.5,12.1,100,0.05,yes,https://ui.adsabs.harvard.edu/abs/2019MNRAS.486...70B/abstract,,,,,REPEATING
FRB180430,ASKAP,06:51,-09:57,336,1297,147.5,177,1.2,264.1±0.5,28.2,100,0.05,yes,https://ui.adsabs.harvard.edu/abs/2019MNRAS.486..166Q/abstract,,,,,
FRB180324,ASKAP,06:16,-34:47,336,1297,16.5,71,4.3,431±0.4,9.8,100,0.05,yes,https://ui.adsabs.harvard.edu/abs/2019ApJ...872L..19M/abstract,,,,,
FRB180315,ASKAP,19:35,-26:50,336,1297,23.3,56,2.4,479±0.4,23.3,100,0.05,yes,https://ui.adsabs.harvard.edu/abs/2019ApJ...872L..19M/abstract,,,,,
FRB180311,parkes,21:31:33.42,-57:44:26.7,338.381,1352,0.15,2.1,13.4,1570.9±0.5,11.5,28,0.69,no,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..868O/abstract,,,,,
FRB180309,parkes,21:24:43.8,-33:58:44.5,338.381,1352,27.6,13.12,0.475,263.42±0.01,27.6,28,0.735,no,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..868O/abstract,,,,,
FRB180212,ASKAP,14:21,-03:35,336,1297,53,96,1.81,167.5±0.5,18.3,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB180131,ASKAP,21:49.9,-40:41,336,1297,22.2,100,4.5,657.7±0.5,13.8,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB180130,ASKAP,21:52.2,-38:34,336,1297,23.1,95,4.1,343.5±0.4,10.2,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB180128.2,ASKAP,22:22,-60:15,336,1297,28.7,66,2.3,495.9±0.7,9.6,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB180128.0,ASKAP,13:56,-06:43,336,1297,17.5,51,2.9,441.4±0.2,12.4,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB180119,ASKAP,03:29.3,-12:44,336,1297,40.7,110,2.7,402.7±0.7,15.9,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB180110,ASKAP,21:53.0,-35:27,336,1297,128.1,420,3.2,715.7±0.2,35.6,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB171216,ASKAP,03:28,-57:04,336,1297,21,40,1.9,203.1±0.5,8,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB171213,ASKAP,03:39,-10:56,336,1297,88.6,133,1.5,158.6±0.2,25.1,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB171209,parkes,15:50:25,-46:10:20,338.381,1352,1.48,3.7,2.5,1457.4±0.03,40,28,0.581,no,https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..868O/abstract,,,,,
